isEdited,userName,review,date,rating,title,developerResponse
False,Melvin7777777777,"This service is great. I just began a treatment and my prescriber not only listened but made sure the treatment was adequate for me and my needs. Like a true Practitioner we began a plan that started slow, and worked towards improving my anxiety and depression in order to see if their underlying cause has to do with ADHD. I’ve done some research in regards to which one you treat first, and the best psychiatrists and studies suggest to do both at the same time, if a link is found between the two. In my case, there clearly is. She was so nice, so smart, I do recommend this app. This is the first review I’ve ever done, in any platform. This means a lot to me, I feel as if I will get my life back. I’m excited. To those who experienced really bad service, I do feel sorry, I wish that wasn’t the case, but it does depend on which state you are in as well. Perhaps people in your state are just more susceptible to acting in that way. Maybe, maybe not. Either way, the app is at least worth a try. I never had to have someone schedule me an appointment, I scheduled and rescheduled so many times. I always got an answer back, I always had someone answer my phone calls. Yeah you might have to wait, the most a few hours but they’re people too, they have a life as well. Some of you reviewing here are very rude.",2021-07-07 23:28:18,5,Psychology Student,
False,MLWP2015,"The subscription service is set up to bleed mental health patients for as much money as possible. I was experiencing some symptoms that I wanted to discuss with a medical professional, and thought cerebral would be an easy way to do so. However, to talk to anyone I had to create an account. I began the process of creating an account, but was unable to complete it because I did not have my insurance information on hand. I then did not return to the site, assuming that the account was not actually set up. I was then shocked two months later when my bank account dropped below zero due to unexpected charges from cerebral. When I tried to login to my account to review what was causing the charge, the website confirmed that my account was not fully set up and the only page I could get to was the complete set up page. When I reached out to customer service about the issue they told me they will not process a refund and sent me a link to their terms. I would absolutely not trust a company that treats their vulnerable clients in this way.",2022-01-19 16:36:32,4,Dishonest Company,"{'id': 27586627, 'body': ""Hello, We appreciate you taking the time to share your experience with us. We're sorry to hear you were not satisfied with all of our services. As a mental health company, we are wholeheartedly focused on improving the well-being of thousands of individuals who may not have had access to, or the means to afford, quality mental health care. In any event, we would like to take some time to see what we can do to correct the situation. Please reach out to us by email at reviews@cerebral.com directly and please include your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-01-21T16:25:07Z'}"
False,Ihearpurple,"I have been shopping around for mental health help and counseling that will not break the bank because I don’t have insurance. I kind of got that. The 85$ package was the only one I could afford which is medication and meetings with a care counselor. I emailed back and forth with customer service to ask what a care counselor does and I could not get a straight answer so I assumed it would be some type of clinician/ LCSW that I would have therapy with instead of a psychologist or something. No. You get a 30 minute appointment with a prescriber every 3 months that prescribes your medicine. I was told if you want more  appointments than every 3 months it’s extra. They are not your therapist. The care counselor IS ALSO NOT A THERAPIST. I was told this by my care counselor during my first appointment, he wanted to make it explicitly clear that he was not providing therapy. At most you tell them a problem you are having and they send you an article to read to help yourself. You will not be receiving any actual therapy from this package. I’m essentially paying 85$ a month for a prescription service because that’s the only thing I’m getting out of the app. The one positive thing I have found is that I told my prescriber about my chronic migraines and was prescribed an anti depressant to that is also used to treat them. While it doesn’t really help with the anxiety it HAS helped my chronic migraines. So at least I am not in constant daily pain.",2021-12-07 23:35:30,2,Misleading explanation of packages,"{'id': 26740649, 'body': ""We're so sorry for any confusion that may have taken place regarding our monthly subscription plans and for any inconvenience that resulted from this. Please feel free to reach out to support@getcerebral.com and ask for Stefanie H. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2021-12-09T16:04:13Z'}"
False,Brianna xcv,"I initially turned to cerebral when I needed therapy desperately, and struggled to find a therapist/psychiatrist in person who would take on new clients due to covid. I decided to go through with the subscription on here only to find out they had no available counselors and could only help me with getting medication. I proceeded with the mindset that I now only needed to look for a new therapist and could scratch a psychiatrist off the list. Terrible choice. Within the few months I've had cerebral, I've been forced to reschedule appointments with my prescriber THREE times already, and the only explanation I was provided with was ""Unforseen circumstances"". Normally I would be understanding of this, but three times is just unbelievable! Especially considering that due to this, I could not get a refill for my prescription before it ran out and went practically a week without my meds after only being on it for a month. Not to mention that your only source of communication through the app is a chat feature that could take anywhere up to 2 days to respond, and you can't even schedule an appointment until the notification pops up promoting you to do so. So if you feel you need an appointment quickly, good luck making one. I would say to anybody, take your money elsewhere and save yourself the headache. For an app that is meant to help people and provide somewhat of a safe space, they've really offered nothing but more frustration for me.",2021-11-07 17:00:24,1,Frustrating service,
False,DerpKiti,"Edit: as of 9/14 I canceled my subscription. These people will not work with you to get your medication they prescribed. I WAS CONTACTING CUSTOMER SUPPORT FOR 3 WEEK WITH NO POSITIVE RESULTS. For whatever reason they never gave me the option to mail it out despite it being their services gimmick. 4 request for updates later, giving 3+ business days each time, I got fed up. Potential users, please be aware, they won’t have your best mental health interest in mind and will make them worse. Emailing the person who responds on here is a joke and they are rudely blunt.

I was subscribed Prozac by my Cerebral prescriber on the 8/28. It is now 9/10 and I have yet to receive a prescription that said would take 3 days maximum. I wrote them 3 times so far with no resolve other then “did you want it to a local pharmacy or shipped?” Um. This service is supposed to allow you to buy your medications online, not once was I told or discussed a local pharmacy. I literally JUST want to buy the prescription they put me on. No one seems to be taking this seriously or looking into it. I’m definitely considering a credit card chargeback and canceling a service I really wanted and needed. Such a shame since they had glowing reviews. I’m convinced this company has no compassion for the people trying to seek help. Also, the care coordinator who responds to these bad reviews is the same responding in my app. They don’t care and it’s been weeks already. She isn’t helping.",2021-09-15 23:00:53,1,Run Around With Prescriptions.,"{'id': 25193215, 'body': ""Hi there, this is Stefanie, and I want to thank you for sharing this insight with us. I'm so sorry to hear that you have faced these difficulties, and I can certainly understand why this was a disappointing experience. If you would be willing, I would appreciate the opportunity to connect further to ensure we amend the situation in a way that is best for you. I am happy to speak with you and help how I can. I can be reached at 415-403-2156 or at support@getcerebral.com. Kind regards, Stefanie H. Cerebral Coordinator."", 'modified': '2021-09-19T20:41:57Z'}"
False,Tayloranz,"I recently got an account with them to help manage my anxiety because I moved to a new state and don't know anyone, crashed my car, and need meds to function. They not only ditched my first video session and kept me waiting 35 mins before I hung up, but the next time I was on time but the microphone wasnt working so it took 3 mins out of our session so he said ""let's just reschedule"" even though there was 10 mins left of the session! He could've at least started to ask me basic questions but hung up. The 3rd time I tried connecting but the link wasn't working. I was in contact with all of them on the thread/messenger telling them what was going on and keeping them updated. I was suicidal going through ALOT of things and was telling them these things and I get a message that they cancelled my membership because I didn't answer their calls.... i didn't even know it was them until after I checked my RoboKiller app which shouldn't matter because I was constantly in contact with them while I was messaging them. They literally, I mean LITERALLY called me almost 10x daily. So if someone doesn't answer that much they get canceled? Most people who have anxiety and/or depression have problems talking about their issues in person. What they did was completely wrong. If i was suicidal that night and went to talk to them, I could've been dead. Cerebral, you disgust me. SCREW THIS APP!!!!",2021-12-25 08:51:56,1,Left me suicidal and cancelled my membership..,"{'id': 27379331, 'body': ""We appreciate you taking the time to share your experience. We're sorry to hear you were not satisfied with our services and would like to take some time to see what we can do to correct the situation. Please reach out to reviews@cerebral.com. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-01-11T17:47:58Z'}"
False,AB396,"The app listed an incorrect time zone for my appointments and when I showed up at the time listed, my provider did not. When I reached out the customer service representative relayed that my appointment was not at the time shown in the app but actually in a different time zone (which was also not the one I am in) and made it seem that I should have known this mistake when scheduling. I was then marked as having missed my appointment instead of it showing that my provider did not show up. I ultimately chose to cancel because the response I received was so frustrating and was told on the phone that I would be eligible for a refund due to the misunderstanding and the fact that I was unable to use the services because the app was giving me incorrect information. The agent on the phone was the only kind person I’ve spoken to at this company and she directed me to the online cancellation form. Then the customer service agent processing my request denied a refund saying that I was ineligible because my billing date had passed and I had missed my appointment. I explained in detail the issue I had and was again told it was my fault for missing the appointment. I have received nothing but additional stress from this app and they have taken zero accountability for the failings of their scheduling system. I would rate it 0 stars if I could. I would never recommend this app.",2021-07-29 00:28:40,1,Horrible Customer Service and Zero Accountability,"{'id': 24648480, 'body': 'Hi there, I apologize that you may have faced difficulties in utilizing our services. We are constantly working to improve our services, and we appreciate you taking the time to share your feedback with us. We value all feedback that we receive, and I would like to take this opportunity to learn more about your experience and see what I may be able to do to assist. Please feel free to contact me at (415)403-2156 or support@getcerebral.com. I look forward to hearing from you. Best, Stefanie H. Cerebral Coordinator.', 'modified': '2021-08-22T21:48:22Z'}"
True,Jvanness90,"This company has switched all of their salaried Therapists to private contractors. This means that all of their greatest therapists have fled to other jobs as their pay has been greatly diminished, and their benefits taken away. The app is finicky at best, and sometimes downright unusable. Their customer service number no longer has agents to speak to, and all correspondence with support must be done through e-mail. Stay away from this company at all costs.

*Update*
This company finally responded to my cancellation e-mail after nearly a week of waiting to hear from them. They also responded to this review below, rather generically, and didn’t offer any specific help. Their phone lines don’t actually have anyone to speak to, and they just request that you correspond through e-mail. The response that I received through e-mail was that I’m not eligible for a refund, even though I didn’t use the service during the month in which I’m requesting. The reason this is so frustrating is because I was told explicitly from a representative of their company that I’d get a refund, as long as I hadn’t used the service during the month of the request. Once this company has your money, they do not care about you. If you’re reading this, and considering starting service with them, please stay away from them at all costs. You will not be satisfied with them in the long run.",2021-09-22 23:33:02,1,Terrible Company,"{'id': 25184090, 'body': 'Hi there, we want to sincerely apologize if you faced any challenges personally in utilizing our services here at Cerebral. We are constantly working to improve our services, and we appreciate you taking the time to share your feedback with us. We value all feedback that we receive, and I would like to take this opportunity to learn more about your experience. I would like to do what I can to mend the situation. Our Support team is able to be reached by phone from 6am-6pm PT Monday through Friday and from 7am-4pm PT Saturdays and Sundays. You can feel free to call or email support@getcerebral.com and ask for me by name. Kind regards, Stefanie H.', 'modified': '2021-09-22T23:33:02Z'}"
False,KayseaLikeKC,"I was excited to finally start working on my mental health. I initially spoke to a psychiatrist and was prescribed antidepressants. Then I spoke to a counselor exactly one time. The app never worked, I was never assigned a care counselor, customer service was slow and mostly unhelpful, and isn't even addressing the issues I bring up in our emails. After starting me on antidepressants, no one ever followed up even one time to see how they were working for me. I spent a few hundred dollars and was given a script for 6 months, but now that I'm trying to move my remaining 3 refills to a local pharmacy, the script that truepill pharmacy provided only has a one month supply due to NY law. So I emailed and asked for the provider to forward the original script to my local pharmacy and they just said ""oh we are sorry can we offer you a discount?"" to which I told them I was disappointed they didn't even acknowledge the refill inquiry in the email. So now they sent their phone number. Its frustrating and i cannot imagine staying with a company with such subpar customer service in the mental health industry where attention and compassion are expected especially when there are a number of alternatives. I've switched to talkspace and it's been flawless. But I still need the remainder of the 3 months of meds I paid good money for and they're obviously in no rush to provide that.",2021-04-19 18:49:21,1,Disorganized and disappointing,"{'id': 22379073, 'body': 'Hi there, \n\nThank you for taking the time to share your feedback and experience with us. We value the opportunity to improve our services, and your honesty will help us to do that. Nevertheless, I want to apologize for any difficulties you faced in utilizing our services. It is disappointing to hear that you did not feel heard by our team. \n\nI would like to see how I can help in this situation. Please feel free to give me at call at (415)403-2156 or email at support@getcerebral.com, and ask for me. I look forward to hearing more about your experience and doing what I can to help. \n\nBest, \nMolly V.\nCerebral Coordinator', 'modified': '2021-04-21T15:37:41Z'}"
False,jtoztv,"This is a great idea especially for someone like me who has a fear of going to in person appointments. However, the Cerebral service is still full of bugs and is unfortunately NOT something that someone with actual anxiety or depression should pursue. Despite meeting with a medication specialist over two weeks ago and having my prescription approved, I have yet to receive my prescription in the mail nor have I received any tracking information for my medication. Instead, my medications have all been showing as “tracking information pending” for the past two and a half weeks . I gave the system some time and then reached out for some help. I was told my issue would be looked into, but I have never received a follow up. This was last week. I was forced today to message again. Not to mention my first therapy session, there were technical difficulties on the therapist side and we were forced to abandon the video call and resort to a phone call instead. This is NOT the service I have signed up for. I have already spent 125 dollars for two months of service and I have no medication and nothing to show for it. Pursue in person therapy instead. They are unresponsive when you have difficulties and they have done nothing but take my money and provide me with absolutely no care. Strong Recommendation to avoid this app.",2022-01-03 23:23:23,1,I really wanted to like this app,"{'id': 27261448, 'body': ""Hello, We appreciate you taking the time to share your experience with us. We're sorry to hear you were not satisfied with all of our services. As a mental health company, we are wholeheartedly focused on improving the well-being of thousands of individuals who may not have had access to, or the means to afford, quality mental health care. In any event, we would like to take some time to see what we can do to correct the situation. Please reach out to us by email at reviews@cerebral.com. directly. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-01-05T17:43:36Z'}"
