reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOFj2rpQnUxpYCR-sEv-vvHAFD1j9lm8Tb94PpujYZF3xoleaFcwR0r7uIoOV7DF_XGVnMoMtDQxpSO9Ag,Ruby Huerta,https://play-lh.googleusercontent.com/a-/AOh14GitBXXOoDSpBNVX38UkEeQ5zyv6_K5Fcc4L_oQE,"Communication to cancel account takes unnecessarily long, resulting in surprise charges to your account. You would think that with all the services they provide,a live chat would be available for off hours.",2,0,,2022-02-18 22:39:07,,
gp:AOqpTOEUsyPKqqHoD7b0ZKBzeq0o2f3xOxvCSIHVBwRrao4sQ6MnhoO9ySGIBBtE_vbnZMIVQNRKNUoMSFeqxg,Brett Davekos,https://play-lh.googleusercontent.com/a-/AOh14Gj1ijANJXcO82iHm3wsAYym0RuokTeIkdh5X-tG2g,needed help and got it. nuf said.,5,0,3.7.17,2022-02-18 15:39:23,Thank you very much for your 5-star review!!!,2022-02-18 17:14:03
gp:AOqpTOGvD1LRvAJQoWdEfiSdASbkhk7FA9ESYGKK347Yw6cslk9gUqtcBMADU7TZ6wvaiy4gMmCXIQ_KavKjHg,james fudge,https://play-lh.googleusercontent.com/a-/AOh14Gj_VHGCY-OQFXRYudK_jj5O_wl1tCzGVNtP2qVM,great people 👏 👍 👌 🙌,5,0,3.7.17,2022-02-18 10:38:27,Thank you so much for your review!,2022-02-18 17:13:58
gp:AOqpTOGWc-eYeN8MhuC8NOBhpJoRf6iGcYOLqvK9_mb6Pq4BKWWR1G0adzW-Ysg-veNXLv-8SSONmhHpcMxT6Q,Daniel Boston,https://play-lh.googleusercontent.com/a-/AOh14GiOpIo1GTwd9X2UCI2D3nAHdJ7imomQHBzEcO-mnw,For an online app they make it exceptionally difficult to cancel. We've submitted written requests to cancel and are still getting billed. I have no choice but to contest the charges.,1,0,3.7.17,2022-02-18 08:31:45,"We appreciate you taking the time to share your experience. We're sorry to hear you were not satisfied with our services and would like to take some time to see what we can do to correct the situation. Please reach out to reviews@cerebral.com with your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team
",2022-02-18 09:07:16
gp:AOqpTOEnmy1T69N64T_dWy4Dcf-H-M62W1TQ4pKI1EMnslScAHf8Fr3-OMT2TW2Ju6EjirK17BrZmyKRi-Uweg,getsuandhoshi,https://play-lh.googleusercontent.com/a-/AOh14GipZvnljNWFQUerrUDiDwz9HlqpK_gu9NYHgXQvYDU,"Signed up for an account and found that the soonest appointment would've been months away, so I would've had to pay for a service I couldn't use until then. Asked for a refund and was told that I could only get $9 refunded since refunds weren't actually allowed. As helpful as this service would be, I won't ever use it.",1,0,3.7.17,2022-02-18 07:37:08,"We appreciate you taking the time to share your experience. We're sorry to hear you were not satisfied with our services and would like to take some time to see what we can do to correct the situation. Please reach out to reviews@cerebral.com with your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team",2022-02-18 09:07:08
gp:AOqpTOFrhyPwCF1P3WrU-iGV7-OEYu9Hhogn1JjyZvcH389z4qX_x8JRTNoUhF7IOLYlEiPcQSTaJvYSzQuC0A,Matthew Lindsey,https://play-lh.googleusercontent.com/a-/AOh14GhsMooG06EkLU895x3pRbTy3dDUgQuNyEax_hU,Just going through the sign up process was painless but did not complete it at the out of pocket expense would be atrocious! I would have continued if they worked with Medicaid insurance to cover the cost.,2,0,3.7.17,2022-02-18 00:20:11,"We appreciate you taking the time to share your experience. We're sorry to hear you were not satisfied with our services and would like to take some time to see what we can do to correct the situation. Please reach out to reviews@cerebral.com with your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team",2022-02-18 09:06:59
gp:AOqpTOENW0Lc76l0MhT9rtFKbiPYacItX4zL8BMM-_o85c_kfrxLA0HoxGf9CZrMdneyDlrFLenTCl2J5I6i4Q,house of crazies,https://play-lh.googleusercontent.com/a/AATXAJwJuKMqsHsXeyuV9utNxMJIGH_nbnoBfKjXx-Zw=mo,"I just started using Cerebral and I love it. I set my account up on Sat, Feb 12th and got my first appointment that same day. I'm not kidding when I say by 5:30 that evening I had made 2 appointments, had my first online visit with my doctor and had medication in my hand that actually work that she prescribed. I am so glad I took a chance on them. They have helped me tremendously.",5,0,3.7.17,2022-02-17 20:15:22,Thank you so much for your review!,2022-02-18 09:06:52
gp:AOqpTOFfAJSbIcxsAQGvtE1koR7RHeGAFajh7HuHSAWW0lDJs4rMlUgsaX0QfXFPN1ovmk6fMfW1qy3sUu-ieA,Soliman Eldakhakhny,https://play-lh.googleusercontent.com/a/AATXAJxpSlgf8oh5K6G0z9sSpVmeHN99nt0oPpLexuMp=mo,very practical app. great professional support as well as customer support.,5,0,3.7.17,2022-02-17 16:58:49,"Hi, thank you very much for your feedback.",2022-02-18 09:06:39
gp:AOqpTOFOREzKUQnUUK1kxQS2OA1-NNu_zLP94a3ZLZrlCPUTB1NTDp0M71XEsSV4mRbNwSog6_cZ1b2x4Zocvw,Chris Barnes,https://play-lh.googleusercontent.com/a/AATXAJxnj7ydaEODNdo4ZqAqohneSGVh6rUuryUcTHj4=mo,Do not use. They make it nearly impossible to cancel. They make you email them and say they respond with instructions to cancel but you never hear back. I have emailed them 4 time and no response. I had to call my bank and block future charges. It's sickening how they prey on people suffering from mental health issues.,1,0,3.7.10,2022-02-17 15:28:33,"We appreciate you taking the time to share your experience. We're sorry to hear you were not satisfied with our services and would like to take some time to see what we can do to correct the situation. Please reach out to reviews@cerebral.com with your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team",2022-02-18 09:06:23
gp:AOqpTOEEJWPUDyqPrBCa5Zv-wZxCUE4zKtcxP3hMMLN0ENPGE3i50Sjg_zyaBtkmgUlQBlZIFThay2OIQMJEtA,Rachel Rabanal,https://play-lh.googleusercontent.com/a-/AOh14GjsQzeE5olgqB3iNKnQ_oCAY5dQSjcMLetAvB-y6A,Keeps asking me to do the assessments over and over. Won't let me schedule appointments.,1,0,3.7.17,2022-02-17 10:17:05,We'll look into this issue for you. Please send us a note at support@cerebral.com so that we can follow up.,2022-02-18 09:03:59
